exercise,image
Wrist rotations,https://images.pexels.com/photos/416717/pexels-photo-416717.jpeg
Elbow rotations,https://images.pexels.com/photos/1954524/pexels-photo-1954524.jpeg
Side bends,https://images.pexels.com/photos/4162485/pexels-photo-4162485.jpeg
Hamstring stretches,https://images.pexels.com/photos/917660/pexels-photo-917660.jpeg
Chest openers,https://images.pexels.com/photos/4753892/pexels-photo-4753892.jpeg
Squats,https://images.pexels.com/photos/4553611/pexels-photo-4553611.jpeg
Superman,https://images.pexels.com/photos/260447/pexels-photo-260447.jpeg
Heel taps,https://images.pexels.com/photos/1756959/pexels-photo-1756959.jpeg
Kneeling push  ups,https://images.pexels.com/photos/28080/pexels-photo.jpg
Bird dogs,https://images.pexels.com/photos/1552252/pexels-photo-1552252.jpeg
Donkey Kick,https://images.pexels.com/photos/1480510/pexels-photo-1480510.jpeg
Curl - left,https://images.pexels.com/photos/7174396/pexels-photo-7174396.jpeg
Curl - right,https://images.pexels.com/photos/3776144/pexels-photo-3776144.jpeg
Burpee,https://images.pexels.com/photos/4944958/pexels-photo-4944958.jpeg
Glute bridge,https://images.pexels.com/photos/2247179/pexels-photo-2247179.jpeg
Flutter kicks,https://images.pexels.com/photos/4162548/pexels-photo-4162548.jpeg
Commando plank,https://images.pexels.com/photos/13965335/pexels-photo-13965335.jpeg
45 degree press /w dumbbell,https://images.pexels.com/photos/4944976/pexels-photo-4944976.jpeg
Windshield wipers,https://images.pexels.com/photos/903171/pexels-photo-903171.jpeg
Lunges,https://images.pexels.com/photos/3768730/pexels-photo-3768730.jpeg
Shoulder press,https://images.pexels.com/photos/1638336/pexels-photo-1638336.jpeg
Normal plank,https://images.pexels.com/photos/700446/pexels-photo-700446.jpeg
Mountain climber,https://images.pexels.com/photos/700446/pexels-photo-700446.jpeg
Sit up,https://images.pexels.com/photos/3931120/pexels-photo-3931120.jpeg
Side plank - L,https://images.pexels.com/photos/3757644/pexels-photo-3757644.jpeg
Side plank - R,https://images.pexels.com/photos/2294361/pexels-photo-2294361.jpeg
Shoulder taps,https://images.pexels.com/photos/4754008/pexels-photo-4754008.jpeg
Airplane plank,https://images.pexels.com/photos/935965/pexels-photo-935965.jpeg
Forward raise,https://images.pexels.com/photos/4943898/pexels-photo-4943898.jpeg
Shadow boxing,https://images.pexels.com/photos/13018400/pexels-photo-13018400.jpeg
